"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2619","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
"","2205","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
"","1828","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
"","2667","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
"","3588","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
"","2333","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
"","1322","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
"","2241","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
"","2449","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
"","1685","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
"","1476","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
"","3491","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","failed","2026-02-08","TestECShopUI","register_photo","",""
"","2376","注册用例：用户名={1}，邮箱={2}，密码={3}","","2026-02-08","passed","2026-02-08","TestECShopUI","register_photo","",""
